Category Head,Hierarchy 2,Hierarchy 3,Strategic Pillar,Part Code,Product Name,MSP Rashi,MSP Supertron,MRP Rashi,MRP Supertron,Rashi Available,Supertron Available,GTM Matrix,Warranty,Remarks,Key Features,Short Description,Long Description,Final Price,Price Source,Lowest Online,Price Notes,Image
PW & Music,Tablet Keyboards Group,Tablet Keyboards Type,Mobility,920-012767,Logitech Combo Touch iPad Pro 11-inch (M4) - GRAPHITE - US - AMR+AP-425,13587,NA,24295,NA,YES,NO,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Logitech Combo Touch iPad Pro 11-inch (M4) AMR+AP - Premium Logitech keyboard designed for comfort and performance.,"The Logitech Combo Touch iPad Pro 11-inch (M4) AMR+AP is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",19495,Amazon,20495,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794366/Logitech/Products/Logitech_Combo_Touch_iPad_Pro_11-inch_M4_-_GRAPHITE_-_US_-_AMR_AP-425.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,Lifestyle,920-013083,POP ICON KEYS - GRAPHITE - US - APANZ-122,3473,3473,6695,6695,YES,YES,LFR,1 Year,Revised in (Q1'FY26),Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,POP ICON KEYS APANZ - Premium Logitech keyboard designed for comfort and performance.,"The POP ICON KEYS APANZ is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",6495,Amazon,6995,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794479/Logitech/Products/POP_ICON_KEYS_-_GRAPHITE_-_US_-_APANZ-122.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,Lifestyle,920-009210,Slim Multi-Device Wireless Keyboard K580 - GRAPHITE - US - APANZ-122,2751,NA,5095,NA,YES,NO,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Slim Multi-Device Wireless Keyboard K580 APANZ - Premium Logitech keyboard designed for comfort and performance.,"The Slim Multi-Device Wireless Keyboard K580 APANZ is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",2801,Amazon,2999,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794507/Logitech/Products/Slim_Multi-Device_Wireless_Keyboard_K580_-_GRAPHITE_-_US_-_APANZ-122.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,Lifestyle,920-009211,Slim Multi-Device Wireless Keyboard K580 - OFFWHITE - US - APANZ-122,2751,NA,5095,NA,YES,NO,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Slim Multi-Device Wireless Keyboard K580 - OFFWHITE APANZ - Premium Logitech keyboard designed for comfort and performance.,"The Slim Multi-Device Wireless Keyboard K580 - OFFWHITE APANZ is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",2806,MSP+2%,1999,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794508/Logitech/Products/Slim_Multi-Device_Wireless_Keyboard_K580_-_OFFWHITE_-_US_-_APANZ-122.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,Lifestyle,920-011753,Pebble Keys 2 K380s - TONAL GRAPHITE - US - APANZ-122,2347,2347,4195,4195,YES,YES,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Pebble Keys 2 K380s GRAPHITE APANZ - Premium Logitech keyboard designed for comfort and performance.,"The Pebble Keys 2 K380s GRAPHITE APANZ is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",2795,Amazon,2995,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794494/Logitech/Products/Pebble_Keys_2_K380s_-_TONAL_GRAPHITE_-_US_-_APANZ-122.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,Lifestyle,920-011754,Pebble Keys 2 K380s - TONAL WHITE - US - APANZ-122,2347,2347,4195,4195,YES,YES,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Pebble Keys 2 K380s WHITE APANZ - Premium Logitech keyboard designed for comfort and performance.,"The Pebble Keys 2 K380s WHITE APANZ is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",2795,Amazon,2995,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794497/Logitech/Products/Pebble_Keys_2_K380s_-_TONAL_WHITE_-_US_-_APANZ-122.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,Lifestyle,920-011755,Pebble Keys 2 K380s - TONAL ROSE - US - APANZ-122,2347,2347,4195,4195,YES,YES,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Pebble Keys 2 K380s ROSE APANZ - Premium Logitech keyboard designed for comfort and performance.,"The Pebble Keys 2 K380s ROSE APANZ is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",2795,Amazon,2995,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794496/Logitech/Products/Pebble_Keys_2_K380s_-_TONAL_ROSE_-_US_-_APANZ-122.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,Mainstream Upsell,920-010955,SIGNATURE K650 - GRAPHITE - US - APANZ-122,2977,2977,5195,5195,YES,YES,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,SIGNATURE K650 APANZ - Premium Logitech keyboard designed for comfort and performance.,"The SIGNATURE K650 APANZ is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",4395,Amazon,4595,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794503/Logitech/Products/SIGNATURE_K650_-_GRAPHITE_-_US_-_APANZ-122.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,Mainstream Upsell,920-010987,SIGNATURE K650 - OFFWHITE - US - APANZ-122,2977,2977,5195,5195,YES,YES,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,SIGNATURE K650 - OFFWHITE APANZ - Premium Logitech keyboard designed for comfort and performance.,"The SIGNATURE K650 - OFFWHITE APANZ is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",4395,Amazon,4595,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794504/Logitech/Products/SIGNATURE_K650_-_OFFWHITE_-_US_-_APANZ-122.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,Mainstream Upsell,920-012443,SIGNATURE SLIM WIRELESS KEYBOARD K950 - GRAPHITE - US - APANZ-122,5359,NA,10920,NA,YES,NO,Offline,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,SIGNATURE SLIM WIRELESS KEYBOARD K950 APANZ - Premium Logitech keyboard designed for comfort and performance.,"The SIGNATURE SLIM WIRELESS KEYBOARD K950 APANZ is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",5466,MSP+2%,1101,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794505/Logitech/Products/SIGNATURE_SLIM_WIRELESS_KEYBOARD_K950_-_GRAPHITE_-_US_-_APANZ-122.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,MX,920-010761,Logitech MX Mechanical Wireless Illuminated Performance Keyboard - GRAPHITE - US - LAT-272,9923,9923,21995,21995,YES,YES,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Logitech MX Mechanical Wireless Illuminated Performance Keyboard LAT - Premium Logitech keyboard designed for comfort and performance.,"The Logitech MX Mechanical Wireless Illuminated Performance Keyboard LAT is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",10999,Amazon,11999,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794410/Logitech/Products/Logitech_MX_Mechanical_Wireless_Illuminated_Performance_Keyboard_-_GRAPHITE_-_US_-_LAT-272.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,MX,920-010784,Logitech MX Mechanical Mini Minimalist Wireless Illuminated Keyboard - GRAPHITE - US - LAT-272,8931,8931,18695,18695,YES,YES,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Logitech MX Mechanical Mini Minimalist Wireless Illuminated Keyboard LAT - Premium Logitech keyboard designed for comfort and performance.,"The Logitech MX Mechanical Mini Minimalist Wireless Illuminated Keyboard LAT is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",9189,Amazon,9689,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794407/Logitech/Products/Logitech_MX_Mechanical_Mini_Minimalist_Wireless_Illuminated_Keyboard_-_GRAPHITE_-_US_-_LAT-272.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,MX,920-010800,Logitech MX Mechanical Mini for Mac Minimalist Wireless Illuminated Keyboard - PALE GREY - US - LATA+AP-340,8931,8931,17495,21995,YES,YES,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Logitech MX Mechanical Mini for Mac Minimalist Wireless Illuminated Keyboard LATA+AP - Premium Logitech keyboard designed for comfort and performance.,"The Logitech MX Mechanical Mini for Mac Minimalist Wireless Illuminated Keyboard LATA+AP is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",11495,Amazon,12495,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794409/Logitech/Products/Logitech_MX_Mechanical_Mini_for_Mac_Minimalist_Wireless_Illuminated_Keyboard_-_PALE_GREY_-_US_-_LATA_AP-340.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,MX,920-010505,MX Keys Mini Minimalist Wireless Illuminated Keyboard - GRAPHITE - US - LATA+AP-340,6966,6966,11995,11995,YES,YES,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,MX Keys Mini Minimalist Wireless Illuminated Keyboard LATA+AP - Premium Logitech keyboard designed for comfort and performance.,"The MX Keys Mini Minimalist Wireless Illuminated Keyboard LATA+AP is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",7105,MSP+2%,739,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794472/Logitech/Products/MX_Keys_Mini_Minimalist_Wireless_Illuminated_Keyboard_-_GRAPHITE_-_US_-_LATA_AP-340.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,MX,920-010528,MX Keys Mini For Mac Minimalist Wireless Illuminated Keyboard - PALE GREY - US - LATA+AP-340,6966,6966,11995,11995,YES,YES,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,MX Keys Mini For Mac Minimalist Wireless Illuminated Keyboard LATA+AP - Premium Logitech keyboard designed for comfort and performance.,"The MX Keys Mini For Mac Minimalist Wireless Illuminated Keyboard LATA+AP is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",7105,MSP+2%,739,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794470/Logitech/Products/MX_Keys_Mini_For_Mac_Minimalist_Wireless_Illuminated_Keyboard_-_PALE_GREY_-_US_-_LATA_AP-340.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,MX,920-010507,MX Keys Mini Minimalist Wireless Illuminated Keyboard - ROSE - US - LATA+AP-340,6966,6966,11995,11995,YES,YES,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,MX Keys Mini Minimalist Wireless Illuminated Keyboard LATA+AP - Premium Logitech keyboard designed for comfort and performance.,"The MX Keys Mini Minimalist Wireless Illuminated Keyboard LATA+AP is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",7105,MSP+2%,1999,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794473/Logitech/Products/MX_Keys_Mini_Minimalist_Wireless_Illuminated_Keyboard_-_ROSE_-_US_-_LATA_AP-340.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,MX,920-011563,MX Keys S - GRAPHITE - US - LATA+AP-340,7542,7542,13295,13295,YES,YES,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,MX Keys S LATA+AP - Premium Logitech keyboard designed for comfort and performance.,"The MX Keys S LATA+AP is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",10495,Amazon,11495,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794475/Logitech/Products/MX_Keys_S_-_GRAPHITE_-_US_-_LATA_AP-340.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,MX,920-011564,MX Keys S - PALE GREY - US - LATA+AP-340,7542,7542,13295,13295,YES,YES,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,MX Keys S LATA+AP - Premium Logitech keyboard designed for comfort and performance.,"The MX Keys S LATA+AP is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",10495,Amazon,11495,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794476/Logitech/Products/MX_Keys_S_-_PALE_GREY_-_US_-_LATA_AP-340.webp
