Category Head,Hierarchy 2,Hierarchy 3,Strategic Pillar,Part Code,Product Name,MSP Rashi,MSP Supertron,MRP Rashi,MRP Supertron,Rashi Available,Supertron Available,GTM Matrix,Warranty,Remarks,Key Features,Short Description,Long Description,Final Price,Price Source,Lowest Online,Price Notes,Image
PW & Music,Pointing Devices Group,Cordless Mice Type,Ergo,910-005449,Logitech MX Vertical Advanced Ergonomic mouse - GRAPHITE - LATA+AP-340,NA,NA,NA,NA,NO,NO,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech MX Vertical Advanced Ergonomic mouse +AP - Premium Logitech mouse designed for comfort and performance.,"The Logitech MX Vertical Advanced Ergonomic mouse +AP is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",749,Amazon,849,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794411/Logitech/Products/Logitech_MX_Vertical_Advanced_Ergonomic_mouse_-_GRAPHITE_-_LATA_AP-340.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Low End,910-007464,Logitech M196 Bluetooth Mouse - ROSE - APANZ-122,NA,645,NA,1125,NO,YES,Dual,1 Year,Exclusive for Supertron (Q2'FY26),Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech M196 Bluetooth Mouse 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech M196 Bluetooth Mouse 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",658,MSP+2%,599,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794394/Logitech/Products/Logitech_M196_Bluetooth_Mouse_-_ROSE_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Low End,910-006540,Logitech® Wireless Mouse M185 - SWIFT GREY - APANZ-122,456,NA,1195,NA,YES,NO,Offline,3 Years,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech® Wireless Mouse M185 - SWIFT GREY 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech® Wireless Mouse M185 - SWIFT GREY 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",499,Amazon,599,Undercut,
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Low End,910-005914,M190 Full-size wireless mouse - BLUE - APANZ-122,NA,760,NA,1325,NO,YES,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,M190 Full-size wireless mouse 122 - Premium Logitech mouse designed for comfort and performance.,"The M190 Full-size wireless mouse 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",775,MSP+2%,599,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794452/Logitech/Products/M190_Full-size_wireless_mouse_-_BLUE_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Low End,910-005915,M190 Full-size wireless mouse - RED - APANZ-122,NA,760,NA,1325,NO,YES,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,M190 Full-size wireless mouse - RED 122 - Premium Logitech mouse designed for comfort and performance.,"The M190 Full-size wireless mouse - RED 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",1024,Amazon,1224,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794454/Logitech/Products/M190_Full-size_wireless_mouse_-_RED_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Low End,910-005913,M190 Full-size wireless mouse - CHARCOAL - APANZ-122,NA,760,NA,1325,NO,YES,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,M190 Full-size wireless mouse - CHARCOAL 122 - Premium Logitech mouse designed for comfort and performance.,"The M190 Full-size wireless mouse - CHARCOAL 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",775,MSP+2%,599,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794453/Logitech/Products/M190_Full-size_wireless_mouse_-_CHARCOAL_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Upsell,910-004792,Logitech® M720 Triathlon Mouse - N/A - APANZ-122,3780,NA,6595,NA,YES,NO,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech® M720 Triathlon Mouse 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech® M720 Triathlon Mouse 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",5334,Amazon,5834,Undercut,
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Upsell,910-006262,Logitech Signature M650 Wireless Mouse - GRAPHITE - APANZ-122,1885,NA,3295,NA,YES,NO,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech Signature M650 Wireless Mouse 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech Signature M650 Wireless Mouse 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",1923,MSP+2%,599,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794416/Logitech/Products/Logitech_Signature_M650_Wireless_Mouse_-_GRAPHITE_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Upsell,910-006263,Logitech Signature M650 Wireless Mouse - ROSE - APANZ-122,1885,NA,3295,NA,YES,NO,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech Signature M650 Wireless Mouse 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech Signature M650 Wireless Mouse 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",1923,MSP+2%,599,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794423/Logitech/Products/Logitech_Signature_M650_Wireless_Mouse_-_ROSE_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Upsell,910-006264,Logitech Signature M650 Wireless Mouse - OFF-WHITE - APANZ-122,1885,NA,3295,NA,YES,NO,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech Signature M650 Wireless Mouse 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech Signature M650 Wireless Mouse 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",1923,MSP+2%,999,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794418/Logitech/Products/Logitech_Signature_M650_Wireless_Mouse_-_OFF-WHITE_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Upsell,910-006247,Logitech Signature M650 L Wireless Mouse - GRAPHITE - APANZ-122,1885,NA,3295,NA,YES,NO,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech Signature M650 L Wireless Mouse 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech Signature M650 L Wireless Mouse 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",1923,MSP+2%,999,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794415/Logitech/Products/Logitech_Signature_M650_L_Wireless_Mouse_-_GRAPHITE_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Upsell,910-004944,Logitech M330 SILENT PLUS Wireless Mouse - BLACK - APANZ-122,NA,920,NA,1645,NO,YES,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech M330 SILENT PLUS Wireless Mouse 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech M330 SILENT PLUS Wireless Mouse 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",938,MSP+2%,599,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794399/Logitech/Products/Logitech_M330_SILENT_PLUS_Wireless_Mouse_-_BLACK_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Upsell,910-004916,Logitech M331 SILENT PLUS - RED - APANZ-122,920,NA,1645,NA,YES,NO,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech M331 SILENT PLUS - RED 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech M331 SILENT PLUS - RED 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",970,Amazon,1129,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794402/Logitech/Products/Logitech_M331_SILENT_PLUS_-_RED_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Upsell,910-004915,Logitech M331 SILENT PLUS - BLUE - APANZ-122,920,NA,1645,NA,YES,NO,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech M331 SILENT PLUS 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech M331 SILENT PLUS 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",970,Amazon,1129,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794401/Logitech/Products/Logitech_M331_SILENT_PLUS_-_BLUE_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Upsell,910-004914,Logitech M331 SILENT PLUS - BLACK - APANZ-122,920,NA,1645,NA,YES,NO,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech M331 SILENT PLUS 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech M331 SILENT PLUS 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",938,MSP+2%,239,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794400/Logitech/Products/Logitech_M331_SILENT_PLUS_-_BLACK_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Upsell,910-007432,Logitech M241 Silent Bluetooth Mouse - OFFWHITE - APANZ-122,843,844,1595,1595,YES,YES,Offline,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech M241 Silent Bluetooth Mouse - OFFWHITE 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech M241 Silent Bluetooth Mouse - OFFWHITE 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",860,MSP+2%,599,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794397/Logitech/Products/Logitech_M241_Silent_Bluetooth_Mouse_-_OFFWHITE_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Upsell,910-007416,Logitech M241 Silent Bluetooth Mouse - GRAPHITE - APANZ-122,843,844,1595,1595,YES,YES,Offline,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech M241 Silent Bluetooth Mouse 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech M241 Silent Bluetooth Mouse 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",860,MSP+2%,599,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794396/Logitech/Products/Logitech_M241_Silent_Bluetooth_Mouse_-_GRAPHITE_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Upsell,910-007430,Logitech M241 Silent Bluetooth Mouse - ROSE - APANZ-122,843,844,1595,1595,YES,YES,Offline,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech M241 Silent Bluetooth Mouse 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech M241 Silent Bluetooth Mouse 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",860,MSP+2%,599,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794398/Logitech/Products/Logitech_M241_Silent_Bluetooth_Mouse_-_ROSE_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Upsell,910-004885,M220 SILENT - CHARCOAL ONL - APANZ-122,NA,546,NA,1295,NO,YES,Dual,3 Years,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,M220 SILENT - CHARCOAL ONL 122 - Premium Logitech mouse designed for comfort and performance.,"The M220 SILENT - CHARCOAL ONL 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",645,Amazon,745,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794456/Logitech/Products/M220_SILENT_-_CHARCOAL_ONL_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,MX,910-006561,Logitech MX Master 3S Performance Wireless Mouse - GRAPHITE - APANZ-122,7244,7244,12495,12495,YES,YES,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech MX Master 3S Performance Wireless Mouse 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech MX Master 3S Performance Wireless Mouse 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",7389,MSP+2%,618,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794405/Logitech/Products/Logitech_MX_Master_3S_Performance_Wireless_Mouse_-_GRAPHITE_-_APANZ-122.webp
