Model,SRP,Landing_Price,Competitor_Price,Source,Final_Price,Reason,Timestamp
HP OmniBook 5 14-he0015QU,85499,"₹80,369","₹68,999",Croma,"₹81,173",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886709
HP OmniBook 5 14-he0014QU,80999,"₹76,139",N/A,Not Found,"₹76,900",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886715
HP Pavilion Aero 13-bg0016AU,89435,"₹84,069",N/A,Not Found,"₹84,910",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886721
HP Pavilion Aero 13-bg0017AU,95435,"₹89,709",N/A,Not Found,"₹90,606",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886727
Pavilion Plus 14-ew0108TU,86498,"₹81,308",N/A,Not Found,"₹82,121",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886739
Pavilion Plus 14-ew0107TU,85499,"₹80,369",N/A,Not Found,"₹81,173",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886745
HP Pavilion Plus 14-ew1082TU,103499,"₹97,289",N/A,Not Found,"₹98,262",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886750
HP Pav X360 Convert 14-ek1151TU,92499,"₹86,949","₹83,999",Unique Computers,"₹87,819",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886757
HP Pav x360 Laptop 14-ek2033TU,69499,"₹65,329",N/A,Not Found,"₹65,982",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886762
OMEN Gaming Laptop 16-an0012TX,184999,"₹173,899","₹172,990",Croma,"₹175,638",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886769
OMEN Gaming Laptop 16-ap0182AX,179999,"₹169,199","₹163,490",Smartprix,"₹170,891",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886776
OMEN Gaming Laptop 16-am0279TX,174999,"₹164,499","₹148,990",IndiaMART,"₹166,144",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886782
OMEN Gaming Laptop 16-ap0181AX,169999,"₹159,799",N/A,Not Found,"₹161,397",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886789
OMEN Gaming Laptop 16-am0238TX,164999,"₹155,099",N/A,Not Found,"₹156,650",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886794
OMEN Gaming Laptop 16-an0015TX,159999,"₹150,399",N/A,Not Found,"₹151,903",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886800
OMEN Gaming Laptop  16-am0239TX,159999,"₹150,399",N/A,Not Found,"₹151,903",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886806
OMEN Gaming Laptop 16-ap0183AX,159999,"₹150,399",N/A,Not Found,"₹151,903",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886812
OMEN Gaming Laptop 16-am0240TX,154999,"₹145,699",N/A,Not Found,"₹147,156",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886817
OMEN Gaming Laptop 16-am0241TX,149999,"₹140,999",N/A,Not Found,"₹142,409",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886823
OMEN Gaming Laptop16-ap0165AX,149999,"₹140,999",N/A,Not Found,"₹142,409",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886842
OMEN Gaming Laptop 16-am0277TX,137999,"₹129,719",N/A,Not Found,"₹131,016",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886850
Victus Gaming Laptop 15-fa2405TX,130999,"₹123,139","₹114,990",Amazon,"₹124,370",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886857
Victus Gaming Laptop 15-fa2409TX,120999,"₹113,739","₹108,490",Croma,"₹114,876",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886863
Victus 15-fa2308TX,130999,"₹123,139",N/A,Not Found,"₹124,370",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886870
Victus 15-fa2309TX,120999,"₹113,739","₹108,490",Croma,"₹114,876",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886876
Victus 15-fb3185AX,115999,"₹109,039",N/A,Not Found,"₹110,129",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886882
15-fd1254TU,78999,"₹74,259","₹66,990",Amazon,"₹75,002",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886896
