product_name,price,image,category,brand,model,description,stock
BenQ EW2790U 27W Monitor,27540,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451080/Monitor/EW2790U.webp,monitor,BenQ,EW2790U,"27""IPS 4K USB-C (65W PD) TreVolo speakers(5W x 2), AI contrast, USB Hub Preset Audio-Visual serttings, Height Adjustment Stand, Display Pilot 2 (White)",10
BenQ EW3290U 32W Monitor,39780,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451081/Monitor/EW3290U.webp,monitor,BenQ,EW3290U,"32""IPS 4K USB-C (65W PD),TreVolo speakers(2W x 2 + 5W Woofer),Remote Control,AI contrast,HAS Stand,Preset Audio-Visual serttings, Display Pilot 2 (White)",10
BenQ EX251 25W Monitor,14892,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451082/Monitor/EX251.webp,monitor,BenQ,EX251,"24.5"" IPS, FHD, 220hz, 1ms GtG, VESA DisplayHDR 400, Built-in Speakers, 99% sRGB, HDMI, DP, AMD FreeSync™, Color Shuttle with Smart Color AI (White)",10
BenQ EX271 27W Monitor,16320,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451085/Monitor/EX271.webp,monitor,BenQ,EX271,"27"" IPS, FHD, 180hz, 1ms GtG, VESA DisplayHDR 400, Built-in Speakers, 95% P3, HDMI, DP, AMD FreeSync™, Color Shuttle with Smart Color AI (White)",10
BenQ EX271Q 27W Monitor,26520,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451086/Monitor/EX271Q.webp,monitor,BenQ,EX271Q,"27"" IPS, 2K QHD, 180hz, 1ms GtG, VESA DisplayHDR 400, 95% P3, HDMI, DP, FreeSync Premium, KVM Switch, USB-C (65W PD), Color Shuttle with Smart Color AI (White)",10
BenQ EX271U 27W Monitor,47430,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451087/Monitor/EX271U.webp,monitor,BenQ,EX271U,"27"" IPS, 4K, 165hz, 1ms GtG, VESA DisplayHDR 400, 95% P3, HDMI 2.1, DP, FreeSync™ Premium, KVM Switch, USB-C (65W PD), Color Shuttle with Smart Color AI (White)",10
BenQ EX270M 27W Monitor,25500,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451083/Monitor/EX270M.webp,monitor,BenQ,EX270M,"27"" FHD IPS 240Hz gaming display, 1ms GtG and AMD FreeSync™ , 99% sRGB, HDRi and true sound audio by treVolo (Grey)",10
BenQ EX270QM 27W Monitor,56100,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451084/Monitor/EX270QM.webp,monitor,BenQ,EX270QM,"27"" 2K QHD IPS, 240Hz 1ms GtG Gaming Monitor, AMD FreeSync™ Premium Pro, 98% P3, HDRi and true sound audio by treVolo (Grey)",10
BenQ XL2546X 25W Monitor,42330,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451135/Monitor/XL2546X.webp,monitor,BenQ,XL2546X,"25"" Fast TN Panel, 240Hz, DyAc™ 2 Gaming Monitor for Esports, XL Setting to Share™,Black eQualizer; Color Vibrance; S Switch; Shielding Hood (Black)",10
BenQ XL2566X+ 25W Monitor,53040,,monitor,BenQ,XL2566X+,"25"" Fast TN Panel, 400Hz, DyAc 2 Gaming Monitor for Esports, XL Setting to Share™,Black eQualizer; Color Vibrance; S Switch; Shielding Hood (Black)",10
BenQ XL2586X 25W Monitor,92310,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451136/Monitor/XL2586X.webp,monitor,BenQ,XL2586X,"25"" Fast TN Panel, 540Hz, DyAc™ 2 Gaming Monitor for Esports, XL Setting to Share™,Black eQualizer; Color Vibrance; S Switch; Shielding Hood (Black)",10
BenQ XL2586X+ 25W Monitor,94350,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451136/Monitor/XL2586X%2B.webp,monitor,BenQ,XL2586X+,"25"" Fast TN Panel, 600Hz, DyAc™ 2 Gaming Monitor for Esports, XL Setting to Share™,Black eQualizer; Color Vibrance; S Switch; Shielding Hood (Black)",10
BenQ MA270U 27W Monitor,40290,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451104/Monitor/MA270U.webp,monitor,BenQ,MA270U,"27"" 4K UHD Monitor for MacBook, Nano Matte Panel, 100% sRGB, 95%P3,Mac Color Tuning Technology, Display Pilot 2,Dual USB-C,Upto 90W PD ,USB Hub,HAS (Silver)",10
BenQ MA320U 32W Monitor,48960,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451105/Monitor/MA320U.webp,monitor,BenQ,MA320U,"32"" 4K UHD Monitor for MacBook, Nano Matte Panel ,550 Nits , 100% sRGB, 97%P3,Mac Color Tuning Technology, Display Pilot 2, USB-C(90W), USB Hub, HAS (Silver)",10
BenQ PD2506Q 25W Monitor,28050,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451107/Monitor/PD2506Q.webp,monitor,BenQ,PD2506Q,"25-inch ,2K IPS QHD , HDR 400, 100% SRGB,100% rec. 709 Color, 95% P3,USB-C Designer Monitor & S/W Calibration (Black)",10
BenQ PD2705Q 27W Monitor,28050,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451107/Monitor/PD2705Q.webp,monitor,BenQ,PD2705Q,"27""2K,IPS HDR USB-C,100% sRGB and offer Delta E ≤ 3 color consistency,USB-C™ One-Cable Connectivity & S/W Calibration (Black)",10
BenQ PD2706QN 27W Monitor,30090,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451110/Monitor/PD2706QN.webp,monitor,BenQ,PD2706QN,"27""2K,IPS USB-C,100% sRGB , 95% P3 with 100Hz Refresh rate ,Delta E ≤ 2 ,USB-C™ One-Cable Connectivity with nano matte Panel & S/W Calibration (Dark Grey)",10
BenQ PD2705U 27W Monitor,36720,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451108/Monitor/PD2705U.webp,monitor,BenQ,PD2705U,"27"" 4K, 99% sRGB and Rec.709 color spaces, HDR10,USB-C One-Cable Connectivity, Hotkey Puck G2 & S/W Calibration (Black)",10
BenQ PD2705UA 27W Monitor,40290,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451109/Monitor/PD2705UA.webp,monitor,BenQ,PD2705UA,"27"" Ergo Arm IPS 4K 3840x2160 UHD sRGB HDR10 USB-C Designer,99% sRGB and Rec.709 color spaces with Hotkey Puck G2 & S/W Calibration(Black)",10
BenQ PD2706U 27W Monitor,38760,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451112/Monitor/PD2706U.webp,monitor,BenQ,PD2706U,"27-inch 4K UHD 95% P3, 100% srGB and 100% Rec 709 HDR 400 USB-C Designer Monitor,KVM with Hotkey Puck G2 & S/W Calibration (Black)",10
BenQ PD2706UA 27W Monitor,43860,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451114/Monitor/PD2706UA.webp,monitor,BenQ,PD2706UA,"27-inch Ergo Arm 4K UHD HDR 400 USB-C Designer Monitor,95% P3, 100% SRGB & 100% Rec. 709 Color space with Hotkey Puck G2 & S/W Calibration (Black)",10
BenQ PD2725U 27W Monitor,62220,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451115/Monitor/PD2725U.webp,monitor,BenQ,PD2725U,"27"" IPS 4K UHD,100%sRGB & 95% P3 Color Space,Display HDR 400 with wide gamut space,Thunderbolt 3 with Hotkey Puck G2 & S/W Calibration (Grey)",10
BenQ PD2730S 27W Monitor,96390,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451116/Monitor/PD2730S.webp,monitor,BenQ,PD2730S,"27"" 5K(5120 x2880),IPS Black Panel(2000:1 Contrast),100% sRGB , 98% P3,Thunderbolt 4 ,Wireless hotkey Puck ,Auto KVM,Nano Matte Panel,S/W Calibration(White)",10
BenQ PD3205U 32W Monitor,46410,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451118/Monitor/PD3205U.webp,monitor,BenQ,PD3205U,"31.5” 4K UHD 16:9 HDR IPS 4K,99% sRGB and Rec.709 color spaces,USB-C One-Cable Connectivity, Hotkey Puck G2 & S/W Calibration(Black)",10
BenQ PD3205UA 32W Monitor,53550,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451118/Monitor/PD3205UA.webp,monitor,BenQ,PD3205UA,"32"" Ergo Arm IPS 4K UHD sRGB HDR10 USB-C Designer,99% sRGB and Rec.709 color spaces, Hotkey Puck G2 & S/W Calibration(Black)",10
BenQ PD3225U 32W Monitor,89760,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451119/Monitor/PD3225U.webp,monitor,BenQ,PD3225U,"32""4K UHD,IPS Black Panel(2000:1 Contrast) with 100% sRGB , 98% P3, Thunderbolt 3 Connectivity, Hotkey Puck G2 & S/W Calibration (Grey)",10
BenQ PD3226G 32W Monitor,93330,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451120/Monitor/PD3226G.webp,monitor,BenQ,PD3226G,"32""4K UHD,IPS Panel 144Hz Refresh rate with 100% sRGB , 95% P3, Thunderbolt 4 , Wireless hotkey Puck with Nano Matte Panel and S/W Calibration(White)",10
BenQ PV3200U 32W Monitor,56610,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451122/Monitor/PV3200U.webp,monitor,BenQ,PV3200U,"32""IPS 4K USB-C (65W PD)Color Accurate for Video creators with 95% P3, Speakers2.1 Ch(2W x 2 + 5W Woofer),6 Audio Modes,Wireless Puck G3(Dark Grey)",10
BenQ SW240 24W Monitor,27030,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451128/Monitor/SW240.webp,monitor,BenQ,SW240,"24"" IPS FHD+ 1920x1200, 100% sRGB, 95% P3, 99% Adobe RGB, HDMI, DP, USB Hub (Black)",10
BenQ SW242Q 24W Monitor,39780,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451129/Monitor/SW242Q.webp,monitor,BenQ,SW242Q,"24""IPS 2K ART Panel(Reflectionless),90W USB-C ,99% Adobe RGB, 98%Display P3,100% sRGB, H/W Calibration,Delta E ≤ 1.5, 16 bit 3D LUT (Black)",10
BenQ SW272Q 27W Monitor,65790,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451131/Monitor/SW272Q.webp,monitor,BenQ,SW272Q,"27”IPS 2K ART Panel(Reflectionless),99%AdobeRGB,98%P3,100% sRGB,H/W Cal.,DeltaE<1.5,HDMI,USB-C(90W),Shading Hood(Landscape only),Hotkey Puck G3(Black)",10
BenQ SW272U 27W Monitor,124440,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451132/Monitor/SW272U.webp,monitor,BenQ,SW272U,"27”IPS 4K ART Panel(Reflectionless),99%AdobeRGB,99%P3,100% sRGB,H/W Cal.,DeltaE<1.5,HDMI,USB-C(90W),Shading Hood(Landscape&Portrait),Hotkey Puck G3(Black)",10
BenQ SW321C 32W Monitor,157080,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451133/Monitor/SW321C.webp,monitor,BenQ,SW321C,"32”IPS 4K ART Panel(Reflectionless),99%AdobeRGB,95%P3,100% sRGB,H/W Cal.,DeltaE<2,HDMI,USB-C(90W),Shading Hood(Landscape&Portrait),Hotkey Puck G2(Black)",10
